,time,/Pкха,Pпха1,t1впг,/t1пг,t2кха,/t2пг,/t3пг,/t4пг,/t5пг,/t6пг,/t7пг,впг'',tвпг',tпха1
1970-01-01 00:00:00,28123.007,0.001,0.022000000000000002,22.89,23.836,22.814,23.719,23.774,23.781,23.573,23.525,23.518,22.764,22.639,22.865
1970-01-01 00:00:07,28130.714,0.001,0.021,22.89,23.836,22.814,23.781,23.899,23.781,23.58,23.525,23.58,22.764,22.639,22.865
1970-01-01 00:00:13,28136.583,0.002,0.021,22.89,23.836,22.789,23.781,23.836,23.719,23.58,23.47,23.525,22.764,22.614,22.865
1970-01-01 00:00:16,28139.578999999998,0.001,0.021,22.89,23.899,22.789,23.844,23.899,23.781,23.58,23.47,23.525,22.764,22.639,22.865
1970-01-01 00:00:19,28142.581000000002,0.001,0.021,22.89,23.899,22.789,23.844,23.899,23.781,23.643,23.47,23.588,22.764,22.639,22.865
1970-01-01 00:00:22,28145.574,0.001,0.021,22.89,23.961,22.789,23.844,23.899,23.788,23.643,23.531999999999996,23.588,22.764,22.614,22.865
1970-01-01 00:00:25,28148.577,0.002,0.021,22.89,23.961,22.789,23.844,23.899,23.788,23.643,23.531999999999996,23.588,22.764,22.639,22.865
1970-01-01 00:00:28,28151.577,0.002,0.021,22.89,23.961,22.789,23.906,23.899,23.788,23.643,23.531999999999996,23.588,22.764,22.639,22.865
1970-01-01 00:00:31,28154.581000000002,0.001,0.021,22.89,23.961,22.789,23.906,23.899,23.788,23.643,23.531999999999996,23.588,22.739,22.639,22.865
1970-01-01 00:00:34,28157.612999999998,0.001,0.022000000000000002,22.89,23.899,22.789,23.851,23.961,23.851,23.643,23.531999999999996,23.588,22.739,22.639,22.865
1970-01-01 00:00:37,28160.588,0.0,0.021,22.89,23.899,22.789,23.851,23.961,23.851,23.705,23.595,23.65,22.739,22.639,22.89
1970-01-01 00:00:43,28166.619,0.002,0.02,22.89,23.961,22.764,23.906,23.906,23.851,23.705,23.595,23.65,22.764,22.639,22.865
1970-01-01 00:00:46,28169.582000000002,0.001,0.021,22.89,23.969,22.764,23.914,23.906,23.914,23.705,23.595,23.65,22.764,22.639,22.865
1970-01-01 00:00:52,28175.604,0.001,0.021,22.865,23.969,22.764,23.914,24.031,23.851,23.768,23.595,23.65,22.764,22.614,22.865
